label,lat,long,input
567952375_library,53.28842,-6.37329,0
634153171_library,53.29064,-6.36375,0
269239404_library,53.33148,-6.29217,0
351506286_library,53.30902,-6.28539,0
881254859_library,53.33901,-6.27060,0
877086324_library,53.34075,-6.25828,0
338625473_library,53.38430,-6.25479,0
140601500_library,53.34104,-6.25449,0
130855217_library,53.33906,-6.25038,0
1390922654_library,53.32794,-6.22952,0
1518906879_library,53.46233,-6.22931,0
1403122560_library,53.28975,-6.19653,0
1191185556_library,53.60853,-6.18257,0
662970896_library,53.30032,-6.17614,0
1403381657_library,53.38005,-6.17295,0
1403622921_library,53.27714,-6.16387,0
944053492_library,53.45068,-6.15238,0
311196036_library,53.23351,-6.12698,0
1362732667_library,53.52179,-6.10215,0
1403381660_library,53.38542,-6.06473,0
300290443_restaurant,53.26949,-6.51780,0
523648748_restaurant,53.35612,-6.48930,0
641891332_restaurant,53.36357,-6.48868,0
640767956_restaurant,53.36426,-6.48832,0
640564012_restaurant,53.36364,-6.48755,0
664134258_restaurant,53.36424,-6.48680,0
1485770414_restaurant,53.37106,-6.48678,0
506818405_restaurant,53.35539,-6.46041,0
632915084_restaurant,53.34110,-6.45191,0
506817027_restaurant,53.35613,-6.44834,0
506823736_restaurant,53.35601,-6.44824,0
653284172_restaurant,53.34047,-6.43218,0
676841919_restaurant,53.39189,-6.39264,0
676841909_restaurant,53.39159,-6.39247,0
835468674_restaurant,53.39493,-6.39102,0
835527795_restaurant,53.39512,-6.39069,0
1171865393_restaurant,53.39576,-6.39013,0
626672406_restaurant,53.42023,-6.38223,0
1484699552_restaurant,53.35806,-6.37922,0
356046116_restaurant,53.38558,-6.37469,0
568101351_restaurant,53.38398,-6.36784,0
801794199_restaurant,53.40643,-6.36763,0
911674209_restaurant,53.38068,-6.35579,0
1484094088_restaurant,53.28129,-6.34477,0
458220904_restaurant,53.28171,-6.34026,0
1472137490_restaurant,53.37585,-6.33193,0
1472137494_restaurant,53.37594,-6.33193,0
513399126_restaurant,53.33975,-6.32084,0
1431043157_restaurant,53.34175,-6.30738,0
282963700_restaurant,53.29855,-6.30408,0
282968362_restaurant,53.29398,-6.30017,0
282969385_restaurant,53.29388,-6.29987,0
739983436_restaurant,53.40164,-6.29688,0
955941218_restaurant,53.34815,-6.29335,0
629750016_restaurant,53.34177,-6.28655,0
1484699981_restaurant,53.35358,-6.28582,0
1376593008_restaurant,53.35230,-6.28421,0
738168764_restaurant,53.35237,-6.28402,0
1499519377_restaurant,53.31119,-6.28330,0
943337713_restaurant,53.31439,-6.28233,0
659681468_restaurant,53.35064,-6.27970,0
632665059_restaurant,53.34988,-6.27929,0
1322638040_restaurant,53.31827,-6.27890,0
1322638153_restaurant,53.31819,-6.27878,0
370213807_restaurant,53.34831,-6.27711,0
1430846977_restaurant,53.28116,-6.27569,0
1403881044_restaurant,53.33091,-6.27513,0
1219567134_restaurant,53.31200,-6.27485,0
1218862895_restaurant,53.31139,-6.27443,0
1030099785_restaurant,53.31195,-6.27428,0
662841494_restaurant,53.36604,-6.27200,0
943429464_restaurant,53.32991,-6.27171,0
583412899_restaurant,53.34316,-6.27013,0
1419171136_restaurant,53.34374,-6.27008,0
1512567285_restaurant,53.34335,-6.26923,0
279464598_restaurant,53.33010,-6.26910,0
1226187226_restaurant,53.34878,-6.26880,0
583412897_restaurant,53.34073,-6.26865,0
650223056_restaurant,53.34713,-6.26825,0
631815620_restaurant,53.34505,-6.26772,0
1243148216_restaurant,53.34426,-6.26745,0
862072861_restaurant,53.34412,-6.26737,0
1514079575_restaurant,53.34449,-6.26729,0
1426048606_restaurant,53.34432,-6.26718,0
310406247_restaurant,53.34444,-6.26689,0
564413700_restaurant,53.32211,-6.26655,0
660248651_restaurant,53.32153,-6.26638,0
434153497_restaurant,53.34426,-6.26628,0
768516172_restaurant,53.34380,-6.26625,0
1194586461_restaurant,53.32164,-6.26603,0
875920650_restaurant,53.33752,-6.26599,0
1418488476_restaurant,53.34143,-6.26575,0
310407929_restaurant,53.34426,-6.26572,0
740579439_restaurant,53.33689,-6.26570,0
632980303_restaurant,53.34489,-6.26568,0
946832779_restaurant,53.34127,-6.26563,0
1146292447_restaurant,53.34034,-6.26559,0
670340763_restaurant,53.34746,-6.26558,0
631808713_restaurant,53.34738,-6.26557,0
310406627_restaurant,53.34426,-6.26556,0
911195156_restaurant,53.33606,-6.26553,0
503224356_restaurant,53.33734,-6.26553,0
651797608_restaurant,53.33641,-6.26550,0
1426100406_restaurant,53.34709,-6.26546,0
1146292464_restaurant,53.34123,-6.26535,0
631980911_restaurant,53.34683,-6.26535,0
567713112_restaurant,53.34406,-6.26533,0
1399561327_restaurant,53.34661,-6.26529,0
660241865_restaurant,53.32383,-6.26526,0
1426051341_restaurant,53.34702,-6.26522,0
480606968_restaurant,53.34635,-6.26520,0
1316646485_restaurant,53.33393,-6.26513,0
567713117_restaurant,53.34406,-6.26513,0
628645926_restaurant,53.34158,-6.26510,0
567740010_restaurant,53.34487,-6.26509,0
747077984_restaurant,53.33520,-6.26506,0
567713107_restaurant,53.34406,-6.26502,0
613230587_restaurant,53.34513,-6.26501,0
1082061533_restaurant,53.34562,-6.26500,0
632980279_restaurant,53.34637,-6.26499,0
642439078_restaurant,53.34548,-6.26488,0
564574224_restaurant,53.31913,-6.26478,0
646873640_restaurant,53.33647,-6.26473,0
641807379_restaurant,53.34261,-6.26464,0
875920648_restaurant,53.33650,-6.26456,0
880900094_restaurant,53.34308,-6.26454,0
1373915565_restaurant,53.34641,-6.26447,0
778699195_restaurant,53.33108,-6.26434,0
880897739_restaurant,53.34297,-6.26433,0
446782704_restaurant,53.34198,-6.26432,0
559854618_restaurant,53.34371,-6.26430,0
559854619_restaurant,53.34360,-6.26429,0
559854611_restaurant,53.34330,-6.26428,0
778699200_restaurant,53.33056,-6.26425,0
1399556569_restaurant,53.35430,-6.26422,0
778690161_restaurant,53.33340,-6.26422,0
875920646_restaurant,53.33639,-6.26416,0
310408465_restaurant,53.34207,-6.26412,0
642439081_restaurant,53.34561,-6.26408,0
